Start,GOES Class,Class_Type
2026-03-01 13:13:00,C2.0,C
2026-03-01 14:55:00,C1.4,C
2026-03-01 15:04:00,C1.8,C
2026-03-01 16:53:00,C2.6,C
2026-03-01 18:07:00,C3.5,C
2026-03-01 19:28:00,C2.4,C
2026-03-01 19:52:00,C2.7,C
2026-03-01 20:38:00,C2.5,C
2026-03-01 21:30:00,C1.8,C
2026-03-01 21:41:00,C4.0,C
2026-03-02 00:07:00,C1.3,C
2026-03-02 00:19:00,C2.8,C
2026-03-02 01:50:00,C1.4,C
2026-03-02 04:29:00,C4.5,C
2026-03-02 06:40:00,C2.0,C
2026-03-02 08:35:00,C2.6,C
